kabupaten,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,latitude,longitude,tanggal,musim,label_banjir,status_risiko,hujan_lag1,hujan_lag3,hujan_lag7,rolling_avg_3,rolling_avg_7,rolling_avg_14,musim_encoded,lc_built_up,lc_tree_cover,lc_unknown,lc_cropland,lc_permanent_water_bodies,risiko_index
Aceh Barat,Aronganlambalek,35.609,69.737,31.08,10.723,Tree Cover,0.782,0.196,36.068,2023,5,1,4.336,95.9498,2023-05-01,Kemarau,True,sedang,0.0,0.0,0.0,35.609,35.609,35.609,0,0,1,0,0,0,20.532
Aceh Barat,Aronganlambalek,69.967,95.113,23.8,10.723,Tree Cover,0.629,0.196,37.764,2023,11,1,4.336,95.9498,2023-11-01,Hujan,True,tinggi,35.609,0.0,0.0,52.788,52.788,52.788,2,0,1,0,0,0,34.591
Aceh Barat,Aronganlambalek,44.438,57.835,30.07,10.723,Tree Cover,0.666,0.196,36.427,2024,9,1,4.336,95.9498,2024-09-01,Kemarau,True,sedang,69.967,0.0,0.0,50.005,50.005,50.005,0,0,1,0,0,0,24.118
Aceh Barat,Aronganlambalek,49.089,105.565,30.01,10.723,Tree Cover,0.762,0.196,36.915,2024,10,1,4.336,95.9498,2024-10-01,Peralihan,True,sedang,44.438,35.609,0.0,54.498,49.776,49.776,1,0,1,0,0,0,26.09
Aceh Barat,Aronganlambalek,66.331,137.058,30.16,10.723,Tree Cover,0.703,0.196,36.829,2024,11,1,4.336,95.9498,2024-11-01,Hujan,True,tinggi,49.089,69.967,0.0,53.286,53.087,53.087,2,0,1,0,0,0,32.961
Aceh Barat,Bubon,36.463,99.588,30.09,26.299,Tree Cover,0.648,0.356,31.606,2022,9,1,4.3034,96.1241,2022-09-01,Kemarau,True,sedang,0.0,0.0,0.0,36.463,36.463,36.463,0,0,1,0,0,0,18.427
Aceh Barat,Bubon,65.93,90.966,26.14,26.299,Tree Cover,0.714,0.356,31.467,2023,11,1,4.3034,96.1241,2023-11-01,Hujan,True,tinggi,36.463,0.0,0.0,51.196,51.196,51.196,2,0,1,0,0,0,30.196
Aceh Barat,Bubon,43.912,55.958,30.62,26.299,Tree Cover,0.784,0.356,30.587,2024,9,1,4.3034,96.1241,2024-09-01,Kemarau,True,sedang,65.93,0.0,0.0,48.768,48.768,48.768,0,0,1,0,0,0,21.223
Aceh Barat,Johanpahlawan,49.014,89.856,31.22,15.09,Tree Cover,0.749,0.286,32.47933333333334,2021,7,1,4.1892,96.1194,2021-07-01,Kemarau,True,sedang,0.0,0.0,0.0,49.014,49.014,49.014,0,0,1,0,0,0,24.748
Aceh Barat,Johanpahlawan,46.307,141.64,30.17,15.09,Tree Cover,0.733,0.286,32.79125,2021,12,1,4.1892,96.1194,2021-12-01,Hujan,True,sedang,49.014,0.0,0.0,47.66,47.66,47.66,2,0,1,0,0,0,23.725
Aceh Barat,Johanpahlawan,37.785,89.232,30.06,15.09,Tree Cover,0.691,0.286,32.8234,2022,5,1,4.1892,96.1194,2022-05-01,Kemarau,True,sedang,46.307,0.0,0.0,44.369,44.369,44.369,0,0,1,0,0,0,20.316
Aceh Barat,Johanpahlawan,27.94,48.061,30.07,15.09,Tree Cover,0.73,0.286,32.63916666666667,2022,7,1,4.1892,96.1194,2022-07-01,Kemarau,True,sedang,37.785,49.014,0.0,37.344,40.262,40.262,0,0,1,0,0,0,16.347
Aceh Barat,Johanpahlawan,61.839,107.607,30.57,15.09,Tree Cover,0.694,0.286,35.895,2022,11,1,4.1892,96.1194,2022-11-01,Hujan,True,tinggi,27.94,46.307,0.0,42.521,44.577,44.577,2,0,1,0,0,0,30.553
Aceh Barat,Johanpahlawan,40.991,67.023,32.6,15.09,Tree Cover,0.738,0.286,32.7582,2023,5,1,4.1892,96.1194,2023-05-01,Kemarau,True,sedang,61.839,37.785,0.0,43.59,43.979,43.979,0,0,1,0,0,0,21.593
Aceh Barat,Johanpahlawan,62.678,96.773,30.14,15.09,Tree Cover,0.646,0.286,32.95325,2023,11,1,4.1892,96.1194,2023-11-01,Hujan,True,tinggi,40.991,27.94,0.0,55.169,46.651,46.651,2,0,1,0,0,0,30.293
Aceh Barat,Johanpahlawan,44.077,59.3,32.3,15.09,Tree Cover,0.714,0.286,32.58583333333333,2024,9,1,4.1892,96.1194,2024-09-01,Kemarau,True,sedang,62.678,61.839,49.014,49.249,45.945,46.329,0,0,1,0,0,0,22.789
Aceh Barat,Kawayxvi,44.479,77.324,30.06,34.338,Tree Cover,0.809,0.539,31.132,2021,7,1,4.2708,96.2177,2021-07-01,Kemarau,True,sedang,0.0,0.0,0.0,44.479,44.479,44.479,0,0,1,0,0,0,20.786
Aceh Barat,Kawayxvi,46.278,125.038,29.58,34.338,Tree Cover,0.779,0.539,31.526,2021,12,1,4.2708,96.2177,2021-12-01,Hujan,True,sedang,44.479,0.0,0.0,45.378,45.378,45.378,2,0,1,0,0,0,21.58
Aceh Barat,Kawayxvi,37.124,62.069,31.09,34.338,Tree Cover,0.781,0.539,30.486,2023,5,1,4.2708,96.2177,2023-05-01,Kemarau,True,sedang,46.278,0.0,0.0,42.627,42.627,42.627,0,0,1,0,0,0,17.711
Aceh Barat,Kawayxvi,64.035,91.496,27.64,34.338,Tree Cover,0.694,0.539,31.514,2023,11,1,4.2708,96.2177,2023-11-01,Hujan,True,tinggi,37.124,44.479,0.0,49.146,47.979,47.979,2,0,1,0,0,0,28.668
Aceh Barat,Kawayxvi,43.191,58.361,30.32,34.338,Tree Cover,0.752,0.539,30.614,2024,9,1,4.2708,96.2177,2024-09-01,Kemarau,True,sedang,64.035,46.278,0.0,48.117,47.021,47.021,0,0,1,0,0,0,20.159
Aceh Barat,Meureubo,64.772,98.1,30.8,17.856,Lainnya,0.702,0.275,31.504,2023,11,1,4.1656,96.2115,2023-11-01,Hujan,True,tinggi,0.0,0.0,0.0,64.772,64.772,64.772,2,0,0,1,0,0,30.571
Aceh Barat,Meureubo,44.098,61.399,30.45,17.856,Lainnya,0.724,0.275,30.657,2024,9,1,4.1656,96.2115,2024-09-01,Kemarau,True,sedang,64.772,0.0,0.0,54.435,54.435,54.435,0,0,0,1,0,0,22.135
Aceh Barat,Pantonreu,65.532,89.303,29.55,53.842,Tree Cover,0.705,0.497,31.486,2023,11,1,4.438,96.2036,2023-11-01,Hujan,True,tinggi,0.0,0.0,0.0,65.532,65.532,65.532,2,0,1,0,0,0,27.306
Aceh Barat,Samatiga,64.479,94.774,28.89,16.071,Lainnya,0.727,0.281,32.396,2023,11,1,4.2511,96.0549,2023-11-01,Hujan,True,tinggi,0.0,0.0,0.0,64.479,64.479,64.479,2,0,0,1,0,0,30.815
Aceh Barat,Sungaimas,29.833,46.965,26.5,602.564,Tree Cover,0.847,5.115,32.351,2023,5,1,4.622,96.2158,2023-05-01,Kemarau,True,sedang,0.0,0.0,0.0,29.833,29.833,29.833,0,0,1,0,0,0,-40.959
Aceh Barat,Sungaimas,44.887,64.969,26.13,602.564,Tree Cover,0.705,5.115,32.465,2024,9,1,4.622,96.2158,2024-09-01,Kemarau,True,sedang,29.833,0.0,0.0,37.36,37.36,37.36,0,0,1,0,0,0,-34.936
Aceh Barat,Woylabarat,101.921,233.083,29.8,31.918,Tree Cover,0.803,0.385,32.705,2021,3,1,4.4144,95.9848,2021-03-01,Hujan,True,kritis,0.0,0.0,0.0,101.921,101.921,101.921,2,0,1,0,0,0,44.296
Aceh Barat,Woylabarat,41.121,60.578,28.03,31.918,Tree Cover,0.75,0.385,35.165,2021,5,1,4.4144,95.9848,2021-05-01,Kemarau,True,sedang,101.921,0.0,0.0,71.521,71.521,71.521,0,0,1,0,0,0,20.46
Aceh Barat,Woylabarat,43.768,75.866,29.19,31.918,Tree Cover,0.801,0.385,35.149,2021,7,1,4.4144,95.9848,2021-07-01,Kemarau,True,sedang,41.121,0.0,0.0,62.27,62.27,62.27,0,0,1,0,0,0,21.523
Aceh Barat,Woylabarat,50.347,137.011,29.43,31.918,Tree Cover,0.82,0.385,35.749,2021,12,1,4.4144,95.9848,2021-12-01,Hujan,True,tinggi,43.768,101.921,0.0,45.079,59.289,59.289,2,0,1,0,0,0,24.278
Aceh Barat,Woylabarat,35.72,97.521,30.75,31.918,Tree Cover,0.765,0.385,35.195,2022,9,1,4.4144,95.9848,2022-09-01,Kemarau,True,sedang,50.347,41.121,0.0,43.278,54.575,54.575,0,0,1,0,0,0,18.308
Aceh Barat,Woylabarat,87.268,133.401,28.4,31.918,Tree Cover,0.627,0.385,36.835,2022,10,1,4.4144,95.9848,2022-10-01,Peralihan,True,tinggi,35.72,43.768,0.0,57.778,60.024,60.024,1,0,1,0,0,0,39.234
Aceh Barat,Woylabarat,57.207,105.153,28.69,31.918,Tree Cover,0.745,0.385,35.895,2022,11,1,4.4144,95.9848,2022-11-01,Hujan,True,tinggi,87.268,50.347,0.0,60.065,59.622,59.622,2,0,1,0,0,0,27.04
Aceh Barat,Woylabarat,35.649,66.678,30.58,31.918,Tree Cover,0.805,0.385,34.454,2023,5,1,4.4144,95.9848,2023-05-01,Kemarau,True,sedang,57.207,35.72,101.921,60.041,50.154,56.625,0,0,1,0,0,0,18.137
Aceh Barat,Woylabarat,73.02,100.671,25.55,31.918,Tree Cover,0.611,0.385,36.012,2023,11,1,4.4144,95.9848,2023-11-01,Hujan,True,tinggi,35.649,87.268,41.121,55.292,54.711,58.447,2,0,1,0,0,0,33.368
Aceh Barat,Woylabarat,45.126,65.814,30.75,31.918,Tree Cover,0.697,0.385,34.765,2024,9,1,4.4144,95.9848,2024-09-01,Kemarau,True,sedang,73.02,57.207,43.768,51.265,54.905,57.115,0,0,1,0,0,0,21.974
Aceh Barat,Woylabarat,68.802,136.094,30.08,31.918,Tree Cover,0.735,0.385,35.127,2024,11,1,4.4144,95.9848,2024-11-01,Hujan,True,tinggi,45.126,35.649,50.347,62.316,57.542,58.177,2,0,1,0,0,0,31.522
Aceh Barat,Woylatimur,109.483,243.832,29.82,48.087,Tree Cover,0.801,0.616,26.878,2021,3,1,4.4596,96.0919,2021-03-01,Hujan,True,kritis,0.0,0.0,0.0,109.483,109.483,109.483,2,0,1,0,0,0,44.573
Aceh Barat,Woylatimur,40.686,59.105,29.99,48.087,Tree Cover,0.786,0.616,30.873,2021,5,1,4.4596,96.0919,2021-05-01,Kemarau,True,sedang,109.483,0.0,0.0,75.084,75.084,75.084,0,0,1,0,0,0,17.851
Aceh Barat,Woylatimur,38.903,64.411,29.47,48.087,Tree Cover,0.789,0.616,31.157,2021,7,1,4.4596,96.0919,2021-07-01,Kemarau,True,sedang,40.686,0.0,0.0,63.024,63.024,63.024,0,0,1,0,0,0,17.195
Aceh Barat,Woylatimur,46.307,115.516,29.14,48.087,Tree Cover,0.798,0.616,31.516,2021,12,1,4.4596,96.0919,2021-12-01,Hujan,True,sedang,38.903,109.483,0.0,41.965,58.845,58.845,2,0,1,0,0,0,20.229
Aceh Barat,Woylatimur,36.741,63.018,30.28,48.087,Tree Cover,0.804,0.616,30.432,2023,5,1,4.4596,96.0919,2023-05-01,Kemarau,True,sedang,46.307,40.686,0.0,40.65,54.424,54.424,0,0,1,0,0,0,16.187
Aceh Barat,Woylatimur,72.34,98.206,26.25,48.087,Tree Cover,0.663,0.616,31.483,2023,11,1,4.4596,96.0919,2023-11-01,Hujan,True,tinggi,36.741,38.903,0.0,51.796,57.41,57.41,2,0,1,0,0,0,30.616
Aceh Barat Daya,Blangpidie,29.072,51.168,24.11,1014.922,Lainnya,0.868,10.37,33.444,2022,1,1,3.8311,96.9798,2022-01-01,Hujan,True,sedang,0.0,0.0,0.0,29.072,29.072,29.072,2,0,0,1,0,0,-81.489
Aceh Barat Daya,Blangpidie,51.659,97.725,23.04,1014.922,Lainnya,0.697,10.37,35.223,2022,8,1,3.8311,96.9798,2022-08-01,Kemarau,True,tinggi,29.072,0.0,0.0,40.366,40.366,40.366,0,0,0,1,0,0,-72.124
Aceh Barat Daya,Blangpidie,21.674,34.379,23.86,1014.922,Lainnya,0.751,10.37,34.36,2023,9,1,3.8311,96.9798,2023-09-01,Kemarau,True,sedang,51.659,0.0,0.0,34.135,34.135,34.135,0,0,0,1,0,0,-84.282
Aceh Barat Daya,Blangpidie,54.114,77.398,22.22,1014.922,Lainnya,0.661,10.37,34.94,2023,11,1,3.8311,96.9798,2023-11-01,Hujan,True,tinggi,21.674,29.072,0.0,42.482,39.13,39.13,2,0,0,1,0,0,-71.204
Aceh Barat Daya,Jeumpa,32.374,49.712,31.23,11.036,Tree Cover,0.673,0.607,31.322,2021,4,1,3.7648,96.8096,2021-04-01,Peralihan,True,sedang,0.0,0.0,0.0,32.374,32.374,32.374,1,0,1,0,0,0,18.302
Aceh Barat Daya,Jeumpa,60.64,115.526,32.0,11.036,Tree Cover,0.6,0.607,32.83,2022,8,1,3.7648,96.8096,2022-08-01,Kemarau,True,tinggi,32.374,0.0,0.0,46.507,46.507,46.507,0,0,1,0,0,0,29.899
Aceh Barat Daya,Jeumpa,22.402,32.161,31.53,11.036,Tree Cover,0.592,0.607,31.996,2023,9,1,3.7648,96.8096,2023-09-01,Kemarau,True,sedang,60.64,0.0,0.0,38.472,38.472,38.472,0,0,1,0,0,0,14.436
Aceh Barat Daya,Lembahsabil,33.54,45.633,28.43,257.114,Tree Cover,0.819,5.39,32.469,2021,4,1,3.6248,96.9937,2021-04-01,Peralihan,True,sedang,0.0,0.0,0.0,33.54,33.54,33.54,1,0,1,0,0,0,-4.87
Aceh Barat Daya,Lembahsabil,38.172,59.313,28.52,257.114,Tree Cover,0.838,5.39,31.589,2021,7,1,3.6248,96.9937,2021-07-01,Kemarau,True,sedang,33.54,0.0,0.0,35.856,35.856,35.856,0,0,1,0,0,0,-3.191
