tanggal,kejadian,kabupaten,provinsi,korban_meninggal,korban_hilang,korban_terluka,rumah_rusak,rumah_terendam,fasum_rusak,tahun,bulan,musim,terjadi_banjir
2024-12-31,Banjir,Kota Pasuruan,Jawa Timur,0,0,0,0,0,0,2024,12,Hujan,True
2024-12-31,Banjir,Lombok Tengah,Nusa Tenggara Barat,0,0,0,0,400,1,2024,12,Hujan,True
2024-12-31,Banjir,Pasuruan,Jawa Timur,0,0,0,0,1447,0,2024,12,Hujan,True
2024-12-30,Banjir,Hulu Sungai Utara,Kalimantan Selatan,0,0,0,0,5413,0,2024,12,Hujan,True
2024-12-30,Banjir,Padang Lawas Utara,Sumatera Utara,0,0,0,0,40,0,2024,12,Hujan,True
2024-12-30,Banjir,Indragiri Hilir,Riau,0,0,0,122,0,0,2024,12,Hujan,True
2024-12-30,Banjir,Kota Pekanbaru,Riau,0,0,0,0,144,0,2024,12,Hujan,True
2024-12-30,Banjir,Bolaang Mongondow,Sulawesi Utara,0,0,0,0,23,0,2024,12,Hujan,True
2024-12-30,Banjir,Kuantan Singingi,Riau,0,0,0,0,121,0,2024,12,Hujan,True
2024-12-30,Banjir,Pidie,Aceh,0,0,0,0,726,0,2024,12,Hujan,True
2024-12-30,Banjir,Aceh Tenggara,Aceh,0,0,0,0,43,0,2024,12,Hujan,True
2024-12-29,Banjir,Morowali,Sulawesi Tengah,0,0,0,1,5,0,2024,12,Hujan,True
2024-12-29,Banjir,Bima,Nusa Tenggara Barat,0,0,0,0,225,0,2024,12,Hujan,True
2024-12-29,Banjir,Sumbawa,Nusa Tenggara Barat,0,0,0,3,166,0,2024,12,Hujan,True
2024-12-29,Banjir,Rokan Hulu,Riau,0,0,0,0,570,0,2024,12,Hujan,True
2024-12-29,Banjir,Kota Pekanbaru,Riau,0,0,0,0,50,0,2024,12,Hujan,True
2024-12-29,Banjir,Tapanuli Utara,Sumatera Utara,0,0,0,15,140,0,2024,12,Hujan,True
2024-12-28,Banjir,Bima,Nusa Tenggara Barat,0,0,0,0,410,0,2024,12,Hujan,True
2024-12-28,Banjir,Malaka,Nusa Tenggara Timur,1,0,0,0,2633,0,2024,12,Hujan,True
2024-12-28,Banjir,Kota Padang Sidempuan,Sumatera Utara,0,0,0,0,405,0,2024,12,Hujan,True
2024-12-27,Banjir,Bima,Nusa Tenggara Barat,0,0,0,0,40,1,2024,12,Hujan,True
2024-12-27,Banjir,Kota Bima,Nusa Tenggara Barat,0,0,0,0,0,0,2024,12,Hujan,True
2024-12-27,Banjir,Dompu,Nusa Tenggara Barat,0,0,0,1,0,0,2024,12,Hujan,True
2024-12-27,Banjir,Seram Bagian Timur,Maluku,0,0,0,0,50,0,2024,12,Hujan,True
2024-12-25,Banjir,Cilacap,Jawa Tengah,0,0,0,0,46,0,2024,12,Hujan,True
2024-12-25,Banjir,Pamekasan,Jawa Timur,0,0,0,0,117,0,2024,12,Hujan,True
2024-12-25,Banjir,Hulu Sungai Tengah,Kalimantan Selatan,0,0,0,0,2210,0,2024,12,Hujan,True
2024-12-25,Banjir,Balangan,Kalimantan Selatan,0,0,0,0,171,0,2024,12,Hujan,True
2024-12-25,Banjir,Simalungun,Sumatera Utara,2,0,0,0,0,0,2024,12,Hujan,True
2024-12-25,Banjir,Purbalingga,Jawa Tengah,0,0,0,0,22,0,2024,12,Hujan,True
2024-12-25,Banjir,Serang,Banten,0,0,0,0,40,0,2024,12,Hujan,True
2024-12-24,Banjir,Situbondo,Jawa Timur,0,0,0,0,86,3,2024,12,Hujan,True
2024-12-24,Banjir,Sidoarjo,Jawa Timur,0,0,0,0,92,0,2024,12,Hujan,True
2024-12-24,Banjir,Nganjuk,Jawa Timur,0,0,0,0,0,0,2024,12,Hujan,True
2024-12-24,Banjir,Kota Bima,Nusa Tenggara Barat,0,0,0,0,0,0,2024,12,Hujan,True
