provinsi,kota_kabupaten,kecamatan,kelurahan_desa,latitude,longitude,waktu_lokal,suhu_celcius,kelembapan_persen,curah_hujan_mm,kondisi_cuaca,kecepatan_angin_kmh,kategori_wilayah,label_banjir
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-03-31 17:00:00,25,90,2.0,Hujan Ringan,1.8,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-03-31 20:00:00,24,94,0.2,Berawan,0.9,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-03-31 23:00:00,23,95,0.0,Cerah Berawan,0.8,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 02:00:00,22,96,0.0,Cerah Berawan,1.4,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 05:00:00,22,97,0.0,Cerah,1.8,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 08:00:00,28,78,0.0,Cerah,2.7,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 11:00:00,30,68,4.8,Hujan Ringan,5.1,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 14:00:00,25,92,6.2,Hujan Sedang,1.7,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 17:00:00,24,97,4.8,Hujan Ringan,0.4,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 20:00:00,24,95,0.0,Berawan,0.3,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-01 23:00:00,23,95,0.0,Berawan,1.6,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 02:00:00,22,96,0.0,Berawan,1.2,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 05:00:00,22,98,0.0,Berawan,2.6,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 08:00:00,26,84,1.8,Hujan Ringan,2.6,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 11:00:00,30,66,1.8,Hujan Ringan,4.7,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 14:00:00,27,84,1.8,Hujan Ringan,4.7,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 17:00:00,24,98,1.8,Hujan Ringan,1.0,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 20:00:00,24,97,0.0,Berawan,1.0,Banjarnegara - Batur,0
Jawa Tengah,Banjarnegara,Susukan,Berta,-7.5010278198,109.442332895,2026-04-02 23:00:00,23,99,0.0,Berawan,1.0,Banjarnegara - Batur,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-03-31 18:00:00,28,74,0.0,Berawan,0.9,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-03-31 21:00:00,27,77,0.0,Cerah,2.8,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 00:00:00,26,83,0.0,Cerah,0.9,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 03:00:00,25,88,0.0,Cerah Berawan,6.1,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 06:00:00,25,89,0.0,Cerah,6.2,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 09:00:00,30,61,0.0,Cerah,5.2,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 12:00:00,31,62,0.0,Cerah,0.6,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 15:00:00,29,69,0.0,Cerah,4.8,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 18:00:00,27,78,0.0,Cerah,9.6,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-01 21:00:00,26,88,0.0,Cerah,8.4,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 00:00:00,24,87,0.0,Cerah,6.2,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 03:00:00,25,90,0.0,Cerah,4.7,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 06:00:00,26,90,0.0,Cerah,7.8,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 09:00:00,29,69,0.3,Cerah,7.8,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 12:00:00,30,69,0.3,Berawan,4.7,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 15:00:00,28,73,0.1,Cerah Berawan,4.7,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 18:00:00,27,81,0.1,Berawan,10.1,Buleleng - Gerokgak,0
Bali,Buleleng,Gerokgak,Sumberklampok,-8.1504464629,114.4940119114,2026-04-02 21:00:00,26,88,0.0,Berawan,10.1,Buleleng - Gerokgak,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-03-31 16:00:00,26,83,0.4,Berawan,9.7,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-03-31 19:00:00,24,96,0.0,Berawan,2.9,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-03-31 22:00:00,23,97,0.0,Berawan,6.1,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 01:00:00,22,97,0.0,Cerah,3.8,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 04:00:00,22,97,0.0,Cerah,2.7,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 07:00:00,26,86,0.0,Cerah,3.0,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 10:00:00,30,66,3.7,Hujan Ringan,6.9,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 13:00:00,28,77,6.0,Hujan Sedang,5.3,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 16:00:00,24,91,4.0,Hujan Ringan,9.7,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 19:00:00,23,98,0.0,Berawan,2.2,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-01 22:00:00,23,99,0.0,Berawan,2.8,Gunungkidul - Panggang,0
Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,Wonosari,-7.9597593064,110.6080550897,2026-04-02 01:00:00,22,99,0.0,Udara Kabur,2.7,Gunungkidul - Panggang,0
